iter	Passed	Remaining
0	26	2395
1	47	2080
2	64	1872
3	90	1947
4	111	1899
5	126	1771
6	144	1713
7	158	1626
8	174	1569
9	190	1522
10	205	1475
11	217	1415
12	233	1384
13	253	1378
14	261	1309
15	274	1268
16	286	1231
17	300	1201
18	312	1168
19	323	1131
20	336	1104
21	354	1095
22	368	1073
23	382	1051
24	394	1024
25	405	996
26	418	975
27	426	945
28	438	921
29	448	896
30	460	877
31	471	855
32	483	835
33	496	818
34	508	798
35	519	778
36	532	762
37	545	746
38	557	728
39	569	711
40	578	691
41	594	679
42	611	668
43	627	655
44	641	641
45	658	629
46	672	615
47	688	602
48	711	595
49	728	582
50	743	568
51	757	553
52	771	538
53	782	521
54	795	505
55	808	490
56	822	476
57	833	460
58	845	444
59	856	428
60	870	413
61	882	398
62	894	383
63	908	369
64	921	354
65	932	339
66	943	323
67	956	309
68	968	294
69	977	279
70	989	264
71	1002	250
72	1012	235
73	1024	221
74	1036	207
75	1048	193
76	1059	178
77	1070	164
78	1082	150
79	1093	136
80	1104	122
81	1115	108
82	1124	94
83	1135	81
84	1146	67
85	1155	53
86	1166	40
87	1175	26
88	1185	13
89	1196	0
